,class,samples
1568,running,"[-3.3279400000000003 7.776048066666665 31.057585 8.68017775 5.643134
 8.196843600631777 0.830201889911045 -13.019669 8.588320733333335
 25.201366 12.022483500000007 10.409989 11.717886191047741
 -0.8596582104821451 -5.042188 1.2325352333333333 12.26789 8.28872625
 -0.32321700000000003 5.179984931007604 -0.8879788563072797]"
2416,running,"[-4.774038 6.745743233333333 31.708805 10.456676499999999 5.5808845
 8.09964741912937 1.1557458696156084 -11.520899 8.150820466666666
 31.565157 14.725537000000001 8.214506 11.196243974597605
 -0.816736412477062 -5.310339 3.2468568 24.511839 9.549273000000001
 1.173159 7.515107112043099 0.5315422565336938]"
6043,walking,"[-16.256629999999998 -4.609795866666667 7.8817119999999985
 2.9604310000000003 -3.9336735000000003 4.561762988510624
 1.7509992853408933 -27.988218 -8.761341600000002 9.572019
 5.377377500000001 -8.437167 6.513423378822984 2.153392658592961
 -22.658726 -1.5204776000000002 26.958712 3.2668880000000002
 -0.9504980000000001 7.681169700759187 5.910785136933862]"
6400,stairs,"[-6.847417 2.0382637666666663 12.650962 3.38181025 2.020706
 4.256272906423981 0.8112817360910669 -17.908628 -8.3481025 1.61848
 8.588001250000001 -8.0876135 4.956140794985448 -0.6670256884358818
 -11.492168 -1.171403 10.716447 4.47595925 -1.3862425 4.53914313946479
 1.4201527983540592]"
1526,running,"[-25.134329 -3.6087002333333333 14.393941 11.480197 -2.4636335
 9.772516821690857 -0.34997385853123353 -13.919888 9.627883333333333
 38.819588 19.83117225 9.651027 15.698585292486566 -0.9352403537733598
 -26.29791 -1.2764286333333337 8.90643 7.84340525 -1.194707
 7.18290110332067 2.6859944445378385]"
2993,running,"[-5.295974 6.030674866666666 22.682667 10.55843 3.9671925
 7.555818588915605 -0.5891779763595619 -13.570335 7.612125233333333
 39.18351 20.3483185 5.7221424999999995 13.448962234262517
 -0.59206146345766 -10.25676 -0.030805200000000088 12.014104 6.66186675
 -0.8834605 5.774164204724099 -0.6298464420096681]"
3899,idle,"[-2.901772 -0.22154333333333334 -0.023942 0.0490815 -0.107739
 0.5130864541201176 21.85522732927995 -1.776498 -0.1380655333333334
 0.21069 0.029927750000000003 -0.129287 0.32843263481610485
 17.810504718233506 5.396531 9.597397 9.792285 0.026335749999999436
 9.763555 0.7857302637663468 24.238726526734116]"
1053,running,"[-7.718906 4.839799 31.172506 8.42759025 3.8881835000000002
 8.67166618889086 1.5407004983105743 -11.999739 7.034483966666667 36.11414
 10.114305499999999 7.058106499999999 10.68178487978977 0.8948846504833536
 -5.0278230000000015 2.9970617 26.00103 8.383298 1.223437 7.09781398450384
 1.644603714197813]"
3213,running,"[-3.98874 5.486393099999999 23.894133 11.225213749999998
 3.5769375000000005 8.056064183658275 -0.46751495415515665 -9.476251
 8.465577999999999 30.722397 18.154034000000003 7.623138000000001
 10.831136536714846 -0.7591271208330244 -7.283161 1.4566325 17.209522
 8.05529175 0.916979 5.7248228003805774 0.2987529648083158]"
3178,running,"[-6.019023000000002 5.008670133333333 39.16914000000001 6.997054500000001
 1.82917 10.10137156496437 3.123062122895301 -12.852075 6.444233499999999
 34.34243 19.4888015 7.158663499999999 12.714391769172463
 -0.6064989943086032 -20.9349 -0.8223283999999998 15.576676 5.49110125
 -1.4772224999999999 5.903292388890257 3.8488699447939734]"
926,running,"[-8.015787 3.690422566666667 18.904617 11.32577125 2.6982654999999998
 7.011212785638367 -0.6141729075748232 -10.807426 7.108863799999999
 28.87886 10.486603 7.1371155 9.415456505880565 -0.21928368894996808
 -9.318233 1.1827358333333335 21.677105 5.226542 -0.038307499999999994
 5.593986059760273 4.1238254654348605]"
4237,idle,"[0.143652 0.25059313333333333 0.35913 0.02633599999999997
 0.24660300000000002 0.03817394879996333 2.676826565039871 -0.067038
 -0.015322933333333332 0.076614 0.03830675 -0.014365 0.029215678527043584
 1.4364413980680135 9.715671 9.766427733333334 9.797073
 0.028729999999999478 9.768343 0.02140005392350411 -0.23517717110389302]"
1433,running,"[-5.133168 7.266561966666667 34.749443 12.064382 3.155558
 9.946273329494485 0.4981289065146224 -15.38514 7.708850766666667
 26.977865 13.29979 8.9279775 10.347342812088105 -0.5420245110660566
 -12.291832 1.896207966666667 32.398340000000005 6.714539 0.3232175
 8.382193838414231 4.077293486859708]"
1075,running,"[-6.598419 4.808035966666665 32.441433 11.314997250000001 3.4069495
 8.708614998207091 1.3281009660756276 -13.048399 7.903579133333334
 33.49488 17.975666500000006 6.042965499999999 13.402889419460696
 -0.9694127695795323 -22.601265 -1.7008408666666668 12.933477 6.399701
 -2.2026655 6.734115409134123 1.6971868081347887]"
3722,idle,"[0.23942 0.2703852 0.32561100000000004 0.021547749999999977
 0.26815100000000003 0.020788982675766836 0.726384684272769 -0.067038
 -0.028411133333333338 0.019154 0.017955999999999996 -0.0311245
 0.018829090108540975 0.2889133052745141 9.730036 9.765629533333335
 9.801862 0.02753300000000003 9.763555 0.018115223107897014
 -0.703284010501942]"
4486,walking,"[-14.805743 0.6687804666666665 9.370906 5.80474175 0.78051
 5.1836439193293025 0.9255140879883337 -21.222204 -8.711861533333332
 12.124237 7.258023249999997 -9.253589999999999 6.676130834459287
 1.3237105745305895 -10.888829 -0.22936446666666666 23.769634
 7.757213750000001 -1.024718 6.488464138656855 4.060000491698807]"
690,running,"[-14.772224 8.016426033333333 38.647205 16.237475 5.78918
 12.77642685419729 0.10921295268325215 -21.35628 8.307081900000002
 33.17885 15.704765000000005 7.1179625 14.421810615568152
 -0.5723187719175709 -25.25404 -1.5587847666666668 15.959748 8.42998375
 -2.317587 8.781107317546995 0.43861222410565226]"
3543,idle,"[0.162806 0.2614468999999999 0.440533 0.035912749999999966 0.260968
 0.06368873100706278 1.186370820593302 -0.15801700000000002
 -0.021228566666666667 0.038307 0.046686750000000006 -0.011970999999999999
 0.041481335373621815 2.1017445828804364 9.734824 9.769460333333335
 9.811439 0.016759500000000926 9.768343 0.01798825031760698
 -0.19984182989871346]"
2862,running,"[-12.861651 3.073995466666667 23.779213 9.10275525 3.1172505
 9.125399232627892 -0.07581711923985601 -12.622231 9.885658900000003
 33.451786 14.337678999999998 9.054871 11.899953034689199
 -0.4740980161438353 -13.196839 -0.8983043333333334 13.790602 4.82790725
 -1.496376 5.3707583765152345 1.0505051908488436]"
2846,running,"[-4.146757 5.849992566666667 23.276428 8.127117749999998 4.4987055
 7.06439915638685 0.14580165205520146 -15.725117 5.281449433333334
 25.206156 16.594212 7.711724000000001 11.742140635496808
 -1.0031826589878123 -6.7372830000000015 2.813506266666666 18.717869
 9.23922525 1.795651 6.289460913915834 -0.3595354523269134]"
4409,idle,"[0.21547800000000006 0.26447953333333335 0.363919 0.022744999999999987
 0.258574 0.026936883617985376 4.0744060924687595 -0.09098
 -0.022984333333333332 0.02873 0.019154 -0.021548 0.025168371309156175
 1.0398663260308734 9.730036 9.765948799999999 9.792285
 0.02274500000000046 9.765948999999999 0.014823484265178682
 -0.515319225056516]"
2455,running,"[-4.314351 5.7082558333333315 24.722527 10.086771249999998 4.22816
 7.5987726573565375 -0.25884886935768225 -14.504074 8.938672233333333
 27.2939 20.744560500000002 9.7515835 12.315455766064915
 -1.031799410346495 -18.828003 0.24708166666666662 28.423962 6.867767
 -0.857124 7.836838070782664 4.272334739707017]"
3552,idle,"[0.13886400000000002 0.25059316666666664 0.42138 0.06105199999999994
 0.2585735 0.05403797750599932 1.6355071345014522 -0.301669
 -0.03862633333333334 0.258574 0.0778115 -0.035913 0.0996243316432063
 2.3133538226640944 9.715671 9.770258433333334 9.816227
 0.03112475000000181 9.768343 0.023575295443441474 -0.19501316872675556]"
1385,running,"[-6.23929 7.8585681 27.839775 16.737864 4.2401315 10.543143490249157
 -1.1086568074355394 -15.993267 9.9193373 33.782185 14.577097250000001
 12.203246499999999 12.931287943752922 -0.6166484799595136 -6.517017
 1.0066821666666665 9.485827 7.189787750000001 0.909797 4.352537607413894
 -1.0278524793099233]"
745,running,"[-10.793061 4.117388533333332 23.956383 8.756792500000001 3.46441
 7.795205670213107 0.2917366459646713 -12.622231 7.322586266666667
 35.89866 24.77639625 5.528212 13.693280268886934 -0.9364230959815623
 -10.630256 2.9250761 21.14559 8.225279750000002 1.556231
 6.829182446222526 0.10623902016357611]"
1899,running,"[-0.684742 8.2984629 27.226862 8.135497249999998 5.2097835
 7.6656802470155005 0.2570176236408286 -11.765107 6.854759166666667
 19.057846 7.7392565000000015 7.266402500000001 7.163187789822122
 0.1139853570596534 -5.985504 4.5373315666666665 16.089035 7.1694365
 3.672706 5.636487585375906 -0.7568275299352614]"
5625,walking,"[-11.420342 -3.830562933333333 3.122039 3.8522700000000003 -4.0557775
 3.1362168128104164 -0.1177872199774539 -14.69561 -9.209057366666665
 5.6982 4.9117060000000015 -10.2974615 4.436419966441248
 2.0999095843432887 -13.244724 -0.5560931333333337 18.938135
 4.298789500000001 -0.47644600000000004 5.309392879273566
 4.526888270306889]"
5472,walking,"[-14.298173 -3.9105293000000003 5.932832 4.258088000000002 -3.9360675
 3.967012469375581 0.7727059528840781 -16.069881 -8.995335033333332
 9.083601 4.727352250000002 -11.3365455 5.801861612706267
 2.5451983999431205 -19.67555 -2.601858733333334 20.51352 3.6535515
 -2.161964 7.798251731471218 2.508569905539802]"
341,running,"[-18.6221 -3.3968931666666666 7.316681 6.367379 -3.007117 5.31192908082475
 0.6858721363970912 -6.813898 7.862398866666665 26.115952 12.779051
 8.1714105 9.484618342386526 -0.9365209416153117 -11.405977
 0.5757258000000001 10.290278 7.33583425 0.56982 4.822247075874936
 -0.18877357100734393]"
4192,idle,"[-0.531513 0.07932793333333335 1.632846 0.33997675 0.019153499999999997
 0.4158193372016212 4.5226674236359585 4.1323919999999985
 5.439466866666667 7.412449 1.4496887500000009 5.3773775
 0.8726353455498554 -0.9145127233585812 5.942409 7.851864533333332
 9.097966 0.8798692500000023 7.900865499999999 0.7041389937105569
 0.33625894759190045]"
2097,running,"[-4.371812 7.8130782666666665 34.34243 10.22683275 4.941632499999999
 10.339112671809579 0.1470403602918431 -15.514427 6.434337400000001
 28.064833 18.06544925 7.2352775000000005 11.518856806565333
 -0.8481639908853258 -10.663774 1.0397219999999996 14.84405 8.9016415
 -0.794875 5.967877417168905 -0.3781625831304125]"
4302,idle,"[-0.339977 0.6410076 2.020706 0.647632 0.8116345 0.5682387292259361
 0.4250718578014392 6.440403 7.118600299999999 7.699753 0.3663124999999994
 7.101202000000002 0.28602027912290306 -0.13093370325557974 5.90889
 6.649017633333334 7.264008 0.27413675000000026 6.653487
 0.34628189919827684 -0.3358586412993554]"
4430,idle,"[-0.550666 0.3313575333333334 2.020706 1.2378025 0.143652
 0.7294446367349037 -0.5890196825351728 6.440403 7.090827699999999
 7.699753 0.38786050000000216 7.046136 0.30696620756690796
 -0.5195464781084596 5.90889 6.670246199999999 7.264008 0.3926499999999997
 6.7277075 0.36099410332925563 -0.6144293525000242]"
6315,stairs,"[-7.939172 0.23495100000000008 5.185841 2.6946737499999998 0.675165
 2.9098678921860577 1.355728095621414 -22.117636 -10.7094238 0.526724
 5.7484785 -10.7595425 4.776847569330499 0.17660290480950502 -28.031313
 -3.0639397000000006 4.031836 4.088099249999999 -2.1691465
 5.810103623199195 8.886580252662576]"
3490,idle,"[-1.570596 0.3117250333333333 4.118027 0.07182575 0.234632
 0.8899282251626244 9.435725341580502 -0.186748 0.8325437666666665
 7.201759 0.09457025 -0.019154 1.986320646778975 2.911865884705289
 7.173029 9.804096566666667 11.530476 0.0407017500000002 9.758766
 0.771633253720215 3.940703282082633]"
1812,running,"[-5.200206 9.370745866666665 34.442986 12.17451525 7.498639999999999
 10.183861940140025 -0.059969614579029606 -13.206416 7.4392637 27.56205
 16.84440575 7.8673470000000005 10.94826307136606 -0.6528094945699019
 -9.873688 1.1112288666666668 13.508086 5.73530975 0.289698
 5.54710061164703 0.03020456891532719]"
4439,idle,"[0.191536 0.24133549999999998 0.287304 0.03112474999999998 0.23942
 0.02577443195849975 -0.5401370944300075 -0.095768 -0.012449866666666667
 0.09098 0.022744749999999998 -0.0167595 0.03099797143656698
 3.3256622110306386 9.715671 9.757808500000001 9.797073
 0.01675975000000207 9.758766 0.015804106691511027 0.7822861682932265]"
2056,running,"[-2.111686 7.418035133333333 27.873297 6.5385642499999985 4.4412445
 8.19937650332822 0.4509585209093365 -9.414001 5.911443733333333 17.918205
 5.969942 6.7540429999999985 5.231075813622268 1.2698845102846006 -4.88896
 5.6054647 16.089035 7.146692250000001 5.3941365 5.170165317491857
 -0.518367333525799]"
5433,walking,"[-11.889606 -3.9081351 7.580042999999999 3.4320875 -3.6152445
 3.8450379492444227 1.3279818959311038 -23.300371 -9.7713755 -0.632069
 7.679402500000001 -10.256760499999999 5.3838931485080925
 -0.1976769546520618 -15.691598 -0.010693933333333228 31.986534 3.8414965
 -1.18513 8.273774156020503 5.703845651363304]"
5458,walking,"[-15.413871 -5.078420866666666 0.196325 4.86262375 -4.642356999999999
 4.0067779573949505 0.4571941091070979 -18.157625 -9.285671700000002
 4.865018 8.267177750000002 -8.8920655 5.961661581913838
 -0.7084462560394069 -16.615759 -2.486617766666667 12.550406 4.12161825
 -1.8962080000000001 6.239716676359751 1.0757657163095145]"
4941,walking,"[-12.641385 -2.8966648333333334 1.173159 3.693056000000001 -1.6352395
 3.72504181212249 0.8339751931240693 -27.88766 -10.952993866666668
 0.488417 6.7301009999999994 -11.089942 6.535642277294333
 0.05344632075100808 -17.774553 -0.39488356666666663 14.144943
 5.5928552499999995 -0.8714895 5.835926037451038 2.004271127916514]"
5719,walking,"[-13.417107 -3.0267497000000003 2.667141 3.5206729999999995 -1.9656395
 3.738920708870232 0.7463167645106044 -17.48246 -8.316339333333334 6.92882
 7.588422499999999 -9.421184 6.1299522188692155 -0.20165796611057019
 -26.853367 -2.1573354 16.74026 3.47877525 -1.285686 7.435278734902531
 3.701180049526254]"
231,running,"[-20.561403 -2.4856600999999996 13.522451 9.753978250000001
 0.004788499999999999 7.899199771506421 -0.3250262855221928 -10.323798
 10.659305266666667 36.46369 21.50112825 10.1705685 13.948752701712793
 -1.0826955829705014 -10.812215 0.34364793333333316 10.620679 6.49427275
 0.253785 4.9624826301904434 -0.13097808747740114]"
6166,walking,"[-14.973337 -4.9129017333333325 1.853112 7.57286 -3.596091
 5.001124452638572 -0.7360074215782948 -19.895817 -10.031226233333335
 -1.403002 7.222109250000001 -10.7739075 4.997342709405034
 -0.8939349457397241 -15.691598 -0.5653508333333334 37.138855
 3.3051947499999996 -1.175553 9.861838774558512 5.623388887176423]"
6413,stairs,"[-7.805097 -0.10103526666666665 8.2169 3.57214875 -0.3040635
 2.865235933695897 1.6228280008198253 -17.927782 -9.359892066666667
 -0.943315 6.526593999999999 -8.461109 4.170713708236892
 -0.6827556961468857 -8.920795 -2.3985111666666667 9.706094
 3.0142995000000004 -2.4444795 3.289249368394924 4.287839739142313]"
34,running,"[-21.183899 -4.1269651666666665 6.2153480000000005 10.81820075 -4.5465885
 6.295359546363735 -0.14334577044266705 -12.239159 9.048805633333334
 33.303345 14.762647749999998 7.120356 11.979278608816806
 -0.5190571642992148 -15.121778 -0.7746040000000001 13.977348999999998
 8.446744249999998 -0.9816225000000001 6.723521438818014
 -0.1362473514081204]"
4732,walking,"[-7.244853999999999 -0.7532157666666667 4.7213660000000015 2.967613
 -0.6009445 2.876831674806756 -0.18180720395644423 -22.888569
 -10.186689833333334 -0.263362 8.28513525 -10.0101575 5.685888673814839
 -0.6561178097379607 -20.973207 0.07821070000000001 21.62922 6.496666
 1.06542 7.3560827733979375 2.7989263200483334]"
5833,walking,"[-6.191406 0.32545186666666664 8.499416 3.7301665 -0.12449850000000003
 3.2684629241820664 0.016794902315755866 -19.632454 -8.654400666666666
 0.373495 8.8872775 -9.279926 5.508674836841733 -1.063506950780208
 -15.040375 -0.7720501000000001 7.699753 7.8242509999999985 -1.690306
 4.948133896703163 0.4420810898202028]"
3532,idle,"[-1.8579 0.0622492666666667 0.799663 0.65720775 0.1652 0.5225241898956726
 3.688375763535343 4.515465 5.996038999999999 6.708554 1.0797855000000016
 6.3206925 0.6314152330718141 -0.8453925953628119 6.363788
 7.556739266666667 8.743625 0.8523349999999992 7.335834500000001
 0.57355899080472 -0.5951950404743447]"
3923,idle,"[0.177171 0.27469473333333333 0.383072 0.03591349999999999 0.272939
 0.03641455212405552 2.0099654190847973 -0.114922 -0.06767603333333333
 0.014365 0.03711075000000001 -0.069432 0.027527654485968993
 1.0877418892309416 9.730036 9.764831499999998 9.825804
 0.02274475000000109 9.765948999999999 0.019111007867631275
 1.497171812463808]"
143,running,"[-8.231264999999999 7.802224566666667 23.597252 15.454572 7.108385
 8.636692367821965 -1.2381324932393725 -20.618866 7.4020736 30.004135
 26.50979775 8.834604500000001 15.709510802155785 -1.1168068049625257
 -7.613561 1.4437038000000002 10.82658 5.4240635 1.5634139999999999
 4.272300869572432 -0.15042722934230301]"
3082,running,"[-9.370906 9.082005266666668 37.96725 17.33641475 9.155427
 12.01865956776865 -0.4090829981932296 -18.29649 8.392634699999999
 39.188293 22.75808475 6.586449000000001 16.966523866459426
 -0.8868381224785571 -18.191145 0.7259220666666663 15.59583 7.2436575
 0.1460465 7.028832272516105 0.7552523087149572]"
5841,walking,"[-14.805743 -0.45186560000000014 8.968679 6.25126075 -0.1867475
 4.980938110719122 0.6009861839675197 -22.596476000000006
 -7.943163233333335 12.124237 9.212888249999999 -8.343793
 7.927240346610864 0.4867025389955466 -10.888829 0.5153918666666668
 23.769634 6.602011 0.73502 6.631866546290115 3.315217813128691]"
2713,running,"[-11.568783 6.4814231666666675 37.57939 16.94017375 4.484340000000001
 12.254085596172521 0.21916282555713895 -14.149732 8.9832043 39.188293
 19.366697499999997 7.3142865 15.042047637906995 -0.45026838645520817
 -14.791378 1.0520122666666667 36.913803 11.18211925 -0.19871899999999998
 9.698396279381894 3.9874940971710826]"
599,running,"[-7.383717999999999 5.0343678333333335 28.452694 10.40998875 5.1810525
 8.822885332237119 0.5679285443417674 -14.5759 9.050561333333333 34.596214
 16.140510749999997 6.6008145 12.873474434756982 -0.5717302475421664
 -6.095637 2.0109699666666665 21.997925 6.05373925 0.05746100000000001
 6.528518625054504 1.8441773639317889]"
3268,running,"[-10.955867 6.927223933333333 33.17885 14.166491749999999 4.7141835
 11.727196548394407 -0.19610137012408702 -15.528792 8.572678633333334
 32.26905 22.68506125 5.9280435 13.539368741716165 -0.9573560527255696
 -13.76666 1.5972518666666669 27.854143 7.718906749999999
 0.5770025000000001 8.14403863590974 2.674656515702436]"
4469,walking,"[-7.599196000000001 0.012290500000000109 8.566454 5.600038
 -0.08858550000000001 4.1231933884302565 -0.5484720787453257 -20.470425
 -9.578083666666666 6.143522 7.88889425 -10.3333745 6.756314662606774
 -0.08516482191411567 -11.070788 -3.1426290333333338 6.033388
 6.477512500000001 -3.3901894999999995 4.9752851022281765
 -0.8993874016125858]"
674,running,"[-6.746860000000002 6.873753233333334 26.551697 9.883265000000002
 3.7349544999999993 9.160460242828213 -0.6014171037717779 -8.700529
 8.670202566666665 24.68422 17.09340325 7.620744 10.457396142394995
 -1.1964297599864597 -9.548077 -0.11571956666666652 8.959103 5.0242325
 0.2059015 4.455693281881056 -0.13356270782420765]"
1643,running,"[-5.133168 7.1948954999999994 34.749443 11.83453875 3.155558
 9.94375313784777 0.5331839730103729 -8.968679 8.0639907 26.977865
 13.29979 8.9279775 9.786776206251101 -0.8044525313705071 -12.291832
 2.027090966666667 32.398340000000005 7.842206999999999 0.3232175
 8.935023723541333 2.6316081890101213]"
4299,idle,"[-0.972046 -0.03176309999999997 1.249773 0.679953 0.12210400000000002
 0.4857944209878187 0.033520044247908665 -2.284068 4.568296633333333
 7.876924000000002 6.975506500000001 6.4164605 3.295754695886518
 -1.0872396923453933 4.64954 7.562964133333333 9.868899 2.1871030000000005
 7.156269 1.485221679931018 -0.9045250829586875]"
4,running,"[-7.522581 8.3963057 38.19709 14.747085 5.887342 10.749276787940678
 0.22738484622168142 -12.186486 9.223422533333332 31.838095000000006
 20.97440425 9.4714615 12.921490462793443 -1.0486823442720707 -12.837709
 2.074176866666667 31.115046000000003 9.807847 -1.058237 8.827351655266758
 1.9058384210204435]"
3461,idle,"[-1.728614 -0.24772 2.341529 0.8966285 -0.5339069999999999
 0.8588148993168045 1.6329035530685951 -0.995988 3.9505925666666664
 7.015011 5.716157 5.568913 2.8043742278944235 -1.3186180786077464
 6.129156 8.317935633333333 10.515334 1.9764132499999985 8.0086045
 1.192953462327079 -1.052347915928764]"
2042,running,"[-4.290409 8.049625533333332 37.2442 12.95861675 6.758832
 9.721559780746825 0.8781722828486083 -15.160085 8.377152133333334
 30.368053000000003 13.94622425 7.888894499999999 11.271099621133596
 -0.3960345275871564 -4.371812 3.0407959 19.651608 8.18936725 1.568202
 5.920420582922953 0.1680071275055175]"
157,running,"[-4.0031050000000015 9.485986833333333 39.188293 8.10197825 4.9631805
 12.055161463417097 1.2273053014310795 -16.112978 8.2568036
 32.374396999999995 20.63562425 12.667721 14.628761880240676
 -1.104439949363132 -8.853758000000003 2.679909766666667 27.528532
 10.715249750000002 -0.007182500000000008 9.06571692169585
 1.213338633020249]"
3675,idle,"[-0.90022 0.0814028 0.679953 0.36032675 0.1819595 0.3226379865113427
 1.0478062047666814 5.023035 6.141606400000001 7.077260000000001
 0.7757207499999987 6.2919625 0.5214635874730918 -0.6495725634369252
 6.023812 7.5434912999999995 9.792285 0.8559264999999989 7.515399500000001
 0.7255376053538116 1.4766732093174513]"
4999,walking,"[-15.739482 -4.2704577 1.072602 4.352658500000001 -2.918532
 4.379838330554231 0.7351330437280699 -18.47366 -10.253567533333333
 2.121263 7.037756 -11.2862665 5.324921752908917 -0.4817821323423588
 -13.359646 0.4213796 27.672184 3.871424 -0.3734955 7.543049821607983
 4.119086943806547]"
1913,running,"[-4.673482 6.5045671999999986 29.185318 7.71052675 4.493917
 7.654133871724557 1.2324053680612588 -7.479486 6.577031833333333
 22.998701 16.020801 6.5074405 9.678816645342032 -1.1470149283279043
 -6.8522050000000005 0.6298349 9.619903 4.91290175 0.07422000000000001
 4.077288831288412 -0.4412236301074892]"
4001,idle,"[0.153229 0.2751735666666667 0.4309560000000001 0.05147549999999998
 0.263362 0.06201224792661707 0.6714038096386616 -0.320823
 -0.022026599999999997 0.258574 0.04788375 -0.0167595 0.07955673429429676
 8.819483190653395 9.696517 9.767385333333332 9.878476 0.02753300000000003
 9.768343 0.028873690675461205 5.754669160859665]"
4259,idle,"[0.13886400000000002 0.26416033333333333 0.440533 0.04788399999999998
 0.263362 0.06631639797382109 0.9128706397440447 -0.301669
 -0.035434066666666666 0.258574 0.071826 -0.0287305 0.09872007920780636
 2.462166755575284 9.715671 9.770737266666664 9.816227 0.03112475000000181
 9.768343 0.022586844694693825 -0.04631492670506132]"
5298,walking,"[-17.721882 -3.965276766666667 2.58095 4.32153375 -2.6695349999999998
 5.022804827286561 0.7927010147488645 -23.262064 -9.73897413333333
 -0.402226 6.129156249999999 -9.325416 5.729647850428167
 -0.19990517598666369 -19.9437 -1.5083469333333333 17.78892 3.00113175
 -0.749385 6.2564259376408184 3.5608634390105864]"
4245,idle,"[0.134075 0.23830289999999996 0.282516 0.02394199999999999 0.244209
 0.027303297597359912 4.831300369739493 -0.095768 -0.022665 0.023942
 0.027533750000000003 -0.0167595 0.02566560370872529 0.6344345925241144
 9.720459 9.765629466666669 9.797073 0.01795599999999986 9.768343
 0.017558101142081107 0.346206647105201]"
4341,idle,"[-0.972046 0.05666273333333335 1.249773 0.45011 0.24660300000000002
 0.4569386316682605 0.8850302237620089 -2.284068 2.739445766666667
 7.876924000000002 6.691794250000001 -0.0311245 3.4562118878112273
 -1.7500316272291059 4.64954 8.350816066666665 9.868899 2.9257142499999995
 9.351752000000001 1.6416498537294513 -0.9007292356687353]"
6203,walking,"[-10.261548 -0.8775546 7.479486 4.5525745 -0.296881 4.355202271582638
 -0.33179339165348853 -30.717607 -10.709423733333335 6.143522 9.02135225
 -10.462662 8.084527512819784 0.47169532846413453 -23.171083
 -1.6590221666666667 15.907076000000002 6.43202275 -1.3910315
 7.058127612879468 1.8386400650557446]"
4725,walking,"[-16.266207 -0.48011706666666676 7.805097999999999 6.033389 -0.5698195
 4.781639704121735 1.9298100181745497 -27.753586 -12.138283366666668
 14.250289000000002 6.107609500000001 -12.8424975 7.813688331218566
 2.534146548160127 -23.463177 -2.2577321666666665 15.05474
 9.392453249999999 -0.07422000000000001 8.495491159738359
 0.5918360906578477]"
6288,walking,"[-13.962984 -3.228501066666666 1.240197 4.11922375 -2.3463175
 3.5412767926119524 1.1172419024968576 -19.632454 -8.126399266666665
 1.134852 7.641094749999999 -7.824251 5.127611831811823 -0.579082413558266
 -5.995081 0.20590140000000007 27.135881 3.90254875 -0.806846
 5.517759263856206 16.01683387847931]"
501,running,"[-8.130708 3.6502001 23.841461 9.477447750000001 2.9376854999999997
 6.894847156005241 0.6318603897563619 -12.440272 8.485848866666666
 30.401573 18.547881 8.291120500000002 12.1692782873427
 -0.8839738787391189 -9.466674 -0.5268839333333333 12.952631 5.85741425
 -1.647211 5.141715754063435 0.3356585975861752]"
359,running,"[-3.275268 6.728504966666665 23.247698 8.738836 4.000710999999999
 7.877921983608061 -0.5875077530542039 -8.762777999999999
 8.787518433333332 29.525295 16.724696 9.466674 10.803197631251084
 -0.860656470633375 -9.548077 0.9382079333333332 16.668432 6.3206925
 0.0430955 5.753867104045644 0.5745397502932241]"
2504,running,"[-6.8665699999999985 11.268390233333331 39.188293 21.904552
 6.974309999999999 14.200251002292235 -0.7752936903929522 -13.953407
 9.8692186 39.188293 21.431696249999998 10.2902785 13.517152346811773
 -0.6829474534119448 -11.985373 -0.09289493333333328 14.03481
 10.526107499999998 -0.20829550000000002 6.510229413825721
 -0.6990806501190785]"
4375,idle,"[-1.043872 -0.09369310000000002 0.464475 0.351947 -0.07422050000000001
 0.30334109290218164 1.508394798490114 3.888184 4.884490933333333 5.726931
 0.9241622500000011 4.764462 0.5226353871970995 -1.1676050064295946
 7.445967 8.3441121 9.097966 0.6991072499999991 8.303090999999998
 0.45783683592260604 -0.9763721441477315]"
3334,running,"[-5.171476 7.3584992 39.188293 10.134656 3.857059 11.28385919502435
 1.7041947701405746 -11.81778 4.943228366666667 26.886885 20.727801
 6.052542 11.813603821549554 -1.2569743465252927 -8.796297000000003
 2.333069833333333 25.34023 5.306748750000001 0.512359 7.2292459556228446
 1.7343936253248167]"
2937,running,"[-6.8857240000000015 7.591375133333332 34.49566 14.873977499999999
 5.130774499999999 10.537914764692056 -0.02976712683794025 -15.935806
 10.786517166666668 39.188293 22.236148749999998 10.362105
 14.984608644977527 -0.815392003015305 -10.16578 1.7830419 17.128119
 9.48343225 1.1133039999999998 7.3386279627572595 -0.6227972627798697]"
4641,walking,"[-9.504981 -2.3815922 6.378154 3.262099749999999 -2.753332
 3.1907329907489435 0.9908556655480418 -23.376986 -9.890766466666665
 3.423709 7.134721500000001 -9.330204 6.35125788960063
 -0.37243613319125846 -26.3027 -0.8070054000000003 21.648373 3.056199
 -1.036689 8.605258613821155 3.3514600768955463]"
5977,walking,"[-16.266207 0.17589413333333337 9.32781 7.338227999999999 2.116474
 5.746902620192347 0.6328692519035481 -24.430433 -9.314083
 14.250289000000002 7.863755749999998 -9.770737 8.302265265800807
 1.3085003340798105 -23.463177 -2.362278966666667 6.66067
 6.884526749999999 -0.670376 6.585830279396838 1.8350619112655888]"
